Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN-13;UPC;MPN;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;;Color:color:0, Disk space:select:1;Blue:0, 16GB:1;RF-Nano-Blue-16GB;RP-Nano-Blue-16GB;80446392;1,16052E+11;;100;40;0;10;1;;;0;0;01/01/2014;1;http://youdomain.com/img.jpg,http://youdomain.com/img.jpg;First alt text,Second alt text;1;0;0;0
1;;Color:color:0, Disk space:select:1;Blue:0, 8GB:1;RF-Nano-Blue-8GB;RP-Nano-Blue-8GB;80446393;4,57698E+11;;80;0;0;10;1;0;;0;0;02/01/2014;2;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Yellow:0, 16GB:1;RF-Nano-Yellow-16GB;RP-Nano-Yellow-16GB;80446394;5,41662E+11;;100;40;0;10;1;1;;0;0;03/01/2014;3;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Yellow:0, 8GB:1;RF-Nano-Yellow-8GB;RP-Nano-Yellow-8GB;80446395;80064075921;;80;0;0;10;1;2;;0;1;04/01/2014;4;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Metal:0, 16GB:1;RF-Nano-Metal-16GB;RP-Nano-Metal-16GB;80446396;9,43285E+11;;100;40;0;10;1;3;;0;0;05/01/2014;5;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Metal:0, 8GB:1;RF-Nano-Metal-8GB;RP-Nano-Metal-8GB;80446397;7,79589E+11;;80;0;0;10;1;;;0;0;06/01/2014;6;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Black:0, 16GB:1;RF-Nano-Black-16GB;RP-Nano-Black-16GB;80446398;6,33319E+11;;100;40;0;10;1;0;;0;0;07/01/2014;7;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Black:0, 8GB:1;RF-Nano-Black-8GB;RP-Nano-Black-8GB;80446399;3,97445E+11;;80;0;0;10;1;1;;0;0;08/01/2014;8;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Orange:0, 16GB:1;RF-Nano-Orange-16GB;RP-Nano-Orange-16GB;80446400;2,95438E+11;;100;40;0;10;1;2;;0;0;09/01/2014;9;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Orange:0, 8GB:1;RF-Nano-Orange-8GB;RP-Nano-Orange-8GB;80446401;8,79526E+11;;80;0;0;10;1;3;;0;0;10/01/2014;10;http://youdomain.com/img.jpg;First alt text;0;0;0;
