Supply Order Reference *;Product ID *;Product Attribute ID;Unit Price (tax excl.)*;Quantity Expected *;Discount Rate;Tax Rate
Ref Apple 01;1;1;100;25;0;19,6
Ref Apple 01;1;2;80;25;0;19,6
Ref Apple 01;1;3;100;25;0;19,6
Ref Apple 01;1;4;80;25;0;19,6
Ref Apple 01;1;5;100;25;0;19,6
Ref Apple 01;1;6;80;25;0;19,6
Ref Apple 01;1;7;100;25;0;19,6
Ref Apple 01;1;8;80;25;0;19,6
Ref Apple 01;1;9;100;25;0;19,6
Ref Apple 01;1;10;80;25;0;19,6
Ref Apple 01;1;11;100;25;0;19,6
Ref Apple 01;1;12;80;25;0;19,6
Ref Apple 01;1;13;100;25;0;19,6
Ref Apple 01;1;14;80;25;0;19,6
Ref Apple 01;1;15;100;25;0;19,6
Ref Apple 01;1;16;80;25;0;19,6
Ref Apple 01;2;17;40;25;0;19,6
Ref Apple 01;2;18;40;25;0;19,6
Ref Apple 01;2;19;40;25;0;19,6
Ref Apple 01;2;20;40;25;0;19,6
